Station ID,Date,Temperature (C),Precipitation (mm)
S243,2024-01-01,36.2,64.3
S243,2024-01-02,29.1,93.0
S243,2024-01-03,26.3,193.6
S243,2024-01-04,7.3,22.1
S243,2024-01-05,-999,92.8
S243,2024-01-06,15.1,76.6
S243,2024-01-07,-999,62.5
S243,2024-01-08,-7.7,52.4
S243,2024-01-09,35.5,78.2
S243,2024-01-10,15.5,82.6
S243,2024-01-11,13.3,43.7
S243,2024-01-12,3.9,89.4
S243,2024-01-13,1.4,43.7
S243,2024-01-14,38.6,22.5
S243,2024-01-15,17.8,63.4
S243,2024-01-16,24.6,43.1
S243,2024-01-17,29.5,1.7
S243,2024-01-18,7.6,141.2
S243,2024-01-19,-4.3,98.2
S243,2024-01-20,17.9,75.1
S243,2024-01-21,-3.7,77.7
S243,2024-01-22,36.4,24.2
S243,2024-01-23,29.0,44.5
S243,2024-01-24,-0.3,52.1
S243,2024-01-25,31.5,177.7
S243,2024-01-26,25.0,32.7
S243,2024-01-27,20.4,58.8
S243,2024-01-28,21.3,59.1
S243,2024-01-29,7.3,5.2
S243,2024-01-30,7.8,16.1
S243,2024-01-31,-3.7,84.3
S243,2024-02-01,38.6,155.3
S243,2024-02-02,19.9,88.6
S243,2024-02-03,8.0,191.1
S243,2024-02-04,25.1,40.9
S243,2024-02-05,1.2,49.4
S243,2024-02-06,22.0,33.8
S243,2024-02-07,24.6,54.1
S243,2024-02-08,39.4,19.7
S243,2024-02-09,37.1,30.5
S243,2024-02-10,18.3,57.7
S243,2024-02-11,37.2,55.1
S243,2024-02-12,2.2,26.6
S243,2024-02-13,-999,27.7
S243,2024-02-14,33.5,163.2
S243,2024-02-15,8.3,94.2
S243,2024-02-16,13.3,51.0
S243,2024-02-17,28.0,21.0
S243,2024-02-18,27.2,13.8
S243,2024-02-19,38.2,78.3
S243,2024-02-20,27.7,111.2
S243,2024-02-21,14.8,7.2
S243,2024-02-22,-0.3,46.5
S243,2024-02-23,1.6,25.4
S243,2024-02-24,-6.4,43.1
S243,2024-02-25,-9.9,60.8
S243,2024-02-26,1.0,101.1
S243,2024-02-27,9.4,88.7
S243,2024-02-28,31.2,94.2
S243,2024-02-29,23.6,80.9
S243,2024-03-01,29.0,67.0
S243,2024-03-02,27.9,27.3
