Station ID,Date,Temperature (C),Precipitation (mm)
S001,2024-01-01,-999,22.3
S001,2024-01-02,26.8,8.7
S001,2024-01-03,-999,50.5
S001,2024-01-04,-8.7,54.5
S001,2024-01-05,1.0,0.6
S001,2024-01-06,30.3,15.5
S001,2024-01-07,37.9,9.7
S001,2024-01-08,32.4,73.0
S001,2024-01-09,16.8,55.2
S001,2024-01-10,31.5,57.7
S001,2024-01-11,-999,28.9
S001,2024-01-12,-6.0,27.8
S001,2024-01-13,21.8,21.0
S001,2024-01-14,3.3,60.9
S001,2024-01-15,-1.4,37.9
S001,2024-01-16,39.5,68.5
S001,2024-01-17,32.1,3.2
S001,2024-01-18,5.8,94.3
S001,2024-01-19,33.8,39.6
S001,2024-01-20,35.7,24.7
S001,2024-01-21,18.1,89.8
S001,2024-01-22,10.0,151.0
S001,2024-01-23,-999,62.7
S001,2024-01-24,29.6,38.2
S001,2024-01-25,39.8,186.1
S001,2024-01-26,-9.4,53.7
S001,2024-01-27,3.3,43.5
S001,2024-01-28,12.7,26.3
S001,2024-01-29,15.0,187.1
S001,2024-01-30,4.9,15.3
S001,2024-01-31,28.1,53.0
S001,2024-02-01,-10.0,92.9
S001,2024-02-02,33.9,5.8
S001,2024-02-03,33.9,48.6
S001,2024-02-04,-6.5,12.8
S001,2024-02-05,13.8,87.2
S001,2024-02-06,11.2,73.0
S001,2024-02-07,0.1,165.0
S001,2024-02-08,11.9,22.5
S001,2024-02-09,6.9,22.0
S001,2024-02-10,-6.5,90.5
S001,2024-02-11,33.0,66.9
S001,2024-02-12,0.7,157.1
S001,2024-02-13,13.6,19.0
S001,2024-02-14,-5.2,46.7
S001,2024-02-15,26.5,109.8
S001,2024-02-16,10.1,24.9
S001,2024-02-17,-0.5,27.9
S001,2024-02-18,2.5,86.1
S001,2024-02-19,17.5,183.6
S001,2024-02-20,38.4,16.6
S001,2024-02-21,14.3,5.9
S001,2024-02-22,8.9,78.4
S001,2024-02-23,12.8,199.5
S001,2024-02-24,17.8,29.7
S001,2024-02-25,38.4,74.8
S001,2024-02-26,-7.1,85.3
S001,2024-02-27,-2.1,18.6
S001,2024-02-28,19.8,12.0
S001,2024-02-29,34.5,61.9
S001,2024-03-01,11.0,93.5
S001,2024-03-02,0.2,39.6
S001,2024-03-03,23.6,75.2
S001,2024-03-04,-6.4,199.6
S001,2024-03-05,-6.3,93.3
S001,2024-03-06,34.0,15.8
S001,2024-03-07,31.7,98.7
S001,2024-03-08,-999,29.9
S001,2024-03-09,23.2,11.5
S001,2024-03-10,-4.6,60.5
S001,2024-03-11,25.9,26.4
S001,2024-03-12,14.4,9.2
S001,2024-03-13,11.2,77.1
S001,2024-03-14,21.9,55.2
S001,2024-03-15,-999,88.3
S001,2024-03-16,35.2,58.3
S001,2024-03-17,-2.6,89.9
S001,2024-03-18,29.8,21.0
S001,2024-03-19,2.5,88.4
S001,2024-03-20,10.3,93.0
S001,2024-03-21,33.2,88.1
S001,2024-03-22,-8.8,93.1
S001,2024-03-23,30.1,26.7
S001,2024-03-24,29.4,85.9
S001,2024-03-25,1.1,30.5
S001,2024-03-26,29.8,19.3
S001,2024-03-27,6.4,127.9
S001,2024-03-28,22.1,153.6
S001,2024-03-29,37.0,117.9
S001,2024-03-30,38.1,43.5
S001,2024-03-31,26.4,51.1
S001,2024-04-01,9.3,70.9
S001,2024-04-02,-9.9,71.9
S001,2024-04-03,27.1,7.0
S001,2024-04-04,23.2,84.8
S001,2024-04-05,26.0,40.8
S001,2024-04-06,10.1,42.0
S001,2024-04-07,37.0,161.6
S001,2024-04-08,5.0,28.7
S001,2024-04-09,11.5,46.5
S001,2024-04-10,12.1,90.1
S001,2024-04-11,29.8,51.5
S001,2024-04-12,21.6,75.1
S001,2024-04-13,23.6,2.4
S001,2024-04-14,2.2,7.3
S001,2024-04-15,10.7,69.6
S001,2024-04-16,14.7,0.6
S001,2024-04-17,27.5,42.5
S001,2024-04-18,-1.2,5.0
S001,2024-04-19,2.5,80.1
S001,2024-04-20,23.4,95.0
S001,2024-04-21,34.6,50.5
S001,2024-04-22,31.5,74.4
S001,2024-04-23,13.7,63.8
S001,2024-04-24,28.3,27.5
S001,2024-04-25,-6.1,32.0
S001,2024-04-26,17.0,69.4
S001,2024-04-27,25.3,54.3
S001,2024-04-28,10.8,90.5
S001,2024-04-29,19.2,76.6
S001,2024-04-30,-999,75.3
S001,2024-05-01,32.7,74.8
S001,2024-05-02,17.3,21.9
S001,2024-05-03,-999,67.9
S001,2024-05-04,10.2,12.8
S001,2024-05-05,-999,56.4
S001,2024-05-06,-8.6,46.2
S001,2024-05-07,-7.5,32.7
S001,2024-05-08,28.1,83.2
S001,2024-05-09,2.6,53.9
S001,2024-05-10,40.0,78.1
S001,2024-05-11,22.6,119.9
S001,2024-05-12,-9.0,66.9
S001,2024-05-13,18.2,76.7
S001,2024-05-14,-1.6,11.5
S001,2024-05-15,31.0,2.6
S001,2024-05-16,5.6,139.7
S001,2024-05-17,25.8,62.7
S001,2024-05-18,-4.9,60.0
S001,2024-05-19,-3.9,34.7
S001,2024-05-20,11.4,34.1
S001,2024-05-21,32.5,96.1
S001,2024-05-22,21.8,43.5
S001,2024-05-23,26.7,80.8
S001,2024-05-24,16.9,73.1
S001,2024-05-25,3.4,8.7
S001,2024-05-26,34.1,61.0
S001,2024-05-27,-999,18.2
S001,2024-05-28,0.6,88.0
S001,2024-05-29,25.1,94.8
S001,2024-05-30,-5.7,75.8
S001,2024-05-31,24.5,79.3
S001,2024-06-01,-5.3,30.6
S001,2024-06-02,19.1,42.6
S001,2024-06-03,27.3,27.1
S001,2024-06-04,2.6,12.0
S001,2024-06-05,16.8,21.6
S001,2024-06-06,14.2,152.5
S001,2024-06-07,4.1,22.7
S001,2024-06-08,-999,27.4
S001,2024-06-09,38.7,12.6
S001,2024-06-10,33.4,57.4
S001,2024-06-11,13.5,5.1
S001,2024-06-12,37.1,40.1
S001,2024-06-13,-6.3,14.9
S001,2024-06-14,18.1,111.8
S001,2024-06-15,28.2,22.6
S001,2024-06-16,16.1,86.0
S001,2024-06-17,39.5,61.0
S001,2024-06-18,27.0,21.1
S001,2024-06-19,23.0,7.5
S001,2024-06-20,-9.9,29.1
S001,2024-06-21,1.6,45.4
S001,2024-06-22,24.4,62.5
S001,2024-06-23,23.1,54.5
S001,2024-06-24,22.4,7.1
S001,2024-06-25,-1.7,56.9
S001,2024-06-26,4.4,70.0
S001,2024-06-27,37.1,8.0
S001,2024-06-28,-8.0,25.0
S001,2024-06-29,-5.4,57.5
S001,2024-06-30,37.5,27.0
S001,2024-07-01,-8.0,65.2
S001,2024-07-02,35.8,63.5
S001,2024-07-03,14.6,33.3
S001,2024-07-04,23.5,69.4
S001,2024-07-05,4.4,55.0
S001,2024-07-06,12.7,97.0
S001,2024-07-07,10.2,165.8
S001,2024-07-08,17.1,36.2
S001,2024-07-09,27.8,20.4
S001,2024-07-10,17.5,69.8
S001,2024-07-11,-3.9,23.9
S001,2024-07-12,-2.1,9.3
S001,2024-07-13,39.6,11.7
S001,2024-07-14,31.6,50.9
S001,2024-07-15,3.7,124.4
S001,2024-07-16,17.6,150.8
S001,2024-07-17,34.0,79.0
S001,2024-07-18,10.7,82.1
S001,2024-07-19,4.1,99.9
S001,2024-07-20,14.5,34.5
